,Player,Age,Team,Pos,Rank
0,Luka Dončić,26,LAL,PG,10
1,Shai Gilgeous-Alexander,27,OKC,PG,10
2,Anthony Edwards,24,MIN,SG,10
3,Jaylen Brown,29,BOS,SF,10
4,Tyrese Maxey,25,PHI,PG,10
5,Kawhi Leonard,34,LAC,SF,10
6,Donovan Mitchell,29,CLE,SG,10
7,Nikola Jokić,30,DEN,C,10
8,Giannis Antetokounmpo,31,MIL,PF,10
9,Joel Embiid,31,PHI,C,9
10,Lauri Markkanen,28,UTA,PF,10
11,Stephen Curry,37,GSW,PG,10
12,Devin Booker,29,PHO,SG,10
13,Jalen Brunson,29,NYK,PG,10
14,Kevin Durant,37,HOU,SF,10
15,Jamal Murray,28,DEN,PG,9
16,Victor Wembanyama,22,SAS,C,10
17,Deni Avdija,25,POR,SF,10
18,Michael Porter Jr.,27,BRK,SF,10
19,Pascal Siakam,31,IND,PF,10
20,Cade Cunningham,24,DET,PG,10
21,James Harden,36,CLE,PG,9
22,Keyonte George,22,UTA,PG,9
23,Austin Reaves,27,LAL,SG,9
24,Jalen Johnson,24,ATL,SF,10
25,Paolo Banchero,23,ORL,PF,10
26,Jayson Tatum,27,BOS,PF,9
27,Norman Powell,32,MIA,SG,10
28,Brandon Ingram,28,TOR,SF,10
29,Trey Murphy III,25,NOP,SF,10
30,Julius Randle,31,MIN,PF,9
31,Cooper Flagg,19,DAL,SF,10
32,Zion Williamson,25,NOP,PF,9
33,LeBron James,41,LAL,SF,8
34,Nickeil Alexander-Walker,27,ATL,SG,9
35,Shaedon Sharpe,22,POR,SG,9
36,Franz Wagner,24,ORL,SF,9
37,Tyler Herro,26,MIA,SG,9
38,Anthony Davis,32,DAL,PF,9
39,Alperen Şengün,23,HOU,C,9
40,Dillon Brooks,30,PHO,SF,9
41,Brandon Miller,23,CHO,SF,10
42,Bam Adebayo,28,MIA,C,8
43,LaMelo Ball,24,CHO,PG,9
44,Desmond Bane,27,ORL,SG,8
45,Karl-Anthony Towns,30,NYK,C,9
46,Jimmy Butler,36,GSW,SF,9
47,Ty Jerome,28,MEM,SG,10
48,Jalen Duren,22,DET,C,9
49,Ja Morant,26,MEM,PG,9
50,Jaren Jackson Jr.,26,UTA,C,8
51,RJ Barrett,25,TOR,SF,9
52,Zach LaVine,30,SAC,SG,10
53,Darius Garland,26,LAC,PG,9
54,CJ McCollum,34,ATL,PG,8
55,De'Aaron Fox,28,SAS,PG,9
56,Jerami Grant,31,POR,PF,8
57,Kon Knueppel,20,CHO,SF,8
58,DeMar DeRozan,36,SAC,PF,9
59,Amen Thompson,23,HOU,PG,8
60,Evan Mobley,24,CLE,PF,8
61,Scottie Barnes,24,TOR,PF,8
62,Trae Young,27,WAS,PG,10
63,Jalen Green,23,PHO,SG,8
64,Saddiq Bey,26,NOP,SF,8
65,Bennedict Mathurin,23,LAC,SF,8
66,Coby White,25,CHO,SG,7
67,Kevin Porter Jr.,25,MIL,PG,9
68,Paul George,35,PHI,PF,8
69,Ryan Rollins,23,MIL,PG,8
70,Miles Bridges,27,CHO,PF,6
71,Chet Holmgren,23,OKC,PF,9
72,Jalen Williams,24,OKC,SG,8
73,Josh Giddey,23,CHI,PG,10
74,Payton Pritchard,28,BOS,PG,8
75,Andrew Nembhard,26,IND,PG,9
76,Kristaps Porziņģis,30,GSW,C,8
77,OG Anunoby,28,NYK,PF,8
78,Stephon Castle,21,SAS,PG,8
79,Dejounte Murray,29,NOP,PG,7
80,Grayson Allen,30,PHO,SG,7
81,Derrick White,31,BOS,SG,7
82,Immanuel Quickley,26,TOR,PG,7
83,Matas Buzelis,21,CHI,PF,9
84,Jrue Holiday,35,POR,PG,7
85,Alex Sarr,20,WAS,C,9
86,Dariq Whitehead,21,MEM,SF,8
87,Aaron Gordon,30,DEN,PF,8
88,VJ Edgecombe,20,PHI,SG,7
89,Domantas Sabonis,29,SAC,C,8
90,Jabari Smith Jr.,22,HOU,PF,7
91,Collin Sexton,27,CHI,SG,8
92,Jarrett Allen,27,CLE,C,7
93,Jaime Jaquez Jr.,24,MIA,SF,7
94,Andrew Wiggins,30,MIA,SF,6
95,Naji Marshall,28,DAL,SF,8
96,Onyeka Okongwu,25,ATL,C,7
97,Russell Westbrook,37,SAC,SF,7
98,Nikola Vučević,35,BOS,C,6
99,Anthony Black,22,ORL,PG,7
100,Kennedy Chandler,23,UTA,PG,7
101,Brice Sensabaugh,22,UTA,SF,6
102,Ayo Dosunmu,26,MIN,SG,8
103,Kyshawn George,22,WAS,SF,8
104,Jaden McDaniels,25,MIN,PF,7
105,Peyton Watson,23,DEN,SF,7
106,Mikal Bridges,29,NYK,SF,7
107,Walker Kessler,24,UTA,C,5
108,Anfernee Simons,26,CHI,SG,7
109,Jeremiah Fears,19,NOP,PG,6
110,Cormac Ryan,27,MIL,SG,7
111,Scoot Henderson,21,POR,PG,6
112,P.J. Washington,27,DAL,PF,7
113,Ivica Zubac,28,IND,C,8
114,Tre Jones,26,CHI,PG,6
115,Kelly Oubre Jr.,30,PHI,SF,6
116,Santi Aldama,25,MEM,PF,7
117,Keegan Murray,25,SAC,PF,6
118,Devin Vassell,25,SAS,SG,7
119,Ace Bailey,19,UTA,SF,4
120,Aaron Nesmith,26,IND,SF,7
121,Brandin Podziemski,22,GSW,SG,7
122,Jalen Suggs,24,ORL,PG,6
123,De'Andre Hunter,28,SAC,SF,5
124,Bobby Portis,30,MIL,PF,6
125,John Collins,28,LAC,PF,7
126,Cedric Coward,22,MEM,SG,6
127,Zach Edey,23,MEM,C,5
128,Ajay Mitchell,23,OKC,SG,7
129,Naz Reid,26,MIN,C,6
130,Cam Thomas,24,MIL,SG,5
131,Tim Hardaway Jr.,33,DEN,SG,6
132,Reed Sheppard,21,HOU,SG,6
133,Toumani Camara,25,POR,PF,5
134,Quentin Grimes,25,PHI,SG,5
135,Jordan Poole,26,NOP,PG,5
136,Tobias Harris,33,DET,PF,8
137,Keldon Johnson,26,SAS,SF,6
138,Jaylon Tyson,23,CLE,SG,6
139,Kyle Kuzma,30,MIL,PF,4
140,Brandon Williams,26,DAL,PG,6
141,Sam Merrill,29,CLE,SG,5
142,Collin Gillespie,26,PHO,PG,6
143,Deandre Ayton,27,LAL,C,7
144,GG Jackson II,21,MEM,PF,4
145,Malik Monk,27,SAC,SG,4
146,Maxime Raynaud,22,SAC,C,3
147,Jaylen Wells,22,MEM,SG,3
148,Max Christie,22,DAL,SG,5
149,Noah Clowney,21,BRK,PF,9
150,De'Anthony Melton,27,GSW,PG,6
151,Jonathan Kuminga,23,ATL,PF,6
152,Donte DiVincenzo,29,MIN,SG,5
153,Cameron Johnson,29,DEN,SF,5
154,Tre Johnson,19,WAS,SG,7
155,Duncan Robinson,31,DET,SF,7
156,Donovan Clingan,21,POR,C,4
157,Moses Moody,23,GSW,SG,5
158,Christian Braun,24,DEN,SG,4
159,Josh Hart,30,NYK,SF,6
160,Miles McBride,25,NYK,SG,5
161,Tristen Newton,24,HOU,SG,5
162,Dyson Daniels,22,ATL,SG,5
163,Blake Hinson,26,UTA,SF,3
164,Myles Turner,29,MIL,C,3
165,Wendell Carter Jr.,26,ORL,C,5
166,Dylan Harper,19,SAS,SG,5
167,Julian Reese,22,WAS,PF,6
168,Nic Claxton,26,BRK,C,8
169,Isaiah Collier,21,UTA,PG,2
170,Bilal Coulibaly,21,WAS,SG,5
171,Derik Queen,21,NOP,C,4
172,Klay Thompson,35,DAL,SF,4
173,Mark Williams,24,PHO,C,5
174,Obi Toppin,27,IND,PF,6
175,Jarace Walker,22,IND,PF,5
176,Rui Hachimura,27,LAL,PF,6
177,Kyle Filipowski,22,UTA,C,1
178,Pelle Larsson,24,MIA,SG,5
179,Scotty Pippen Jr.,25,MEM,PG,2
180,Sandro Mamukelashvili,26,TOR,C,6
181,Max Strus,29,CLE,SF,4
182,Julian Champagnie,24,SAS,SF,4
183,Isaiah Joe,26,OKC,SG,6
184,Cam Spencer,25,MEM,SG,1
185,Kel'el Ware,21,MIA,C,4
186,Alondes Williams,26,WAS,SG,4
187,Rudy Gobert,33,MIN,C,4
188,Dennis Schröder,32,CLE,PG,3
189,Daeqwon Plowden,27,SAC,SG,2
190,Bub Carrington,20,WAS,PG,3
191,Jakob Poeltl,30,TOR,C,5
192,Jock Landale,30,ATL,C,4
193,Marvin Bagley III,26,DAL,PF,3
194,Tari Eason,24,HOU,PF,4
195,A.J. Green,26,MIL,SG,2
196,Caleb Love,24,POR,SG,3
197,Egor Dёmin,19,BRK,PG,7
198,DaQuan Jeffries,28,SAC,SG,1
199,Will Riley,19,WAS,SF,2
200,Khris Middleton,34,DAL,SF,2
201,Neemias Queta,26,BOS,C,5
202,D'Angelo Russell,29,DAL,PG,1
203,Jalen Smith,25,CHI,C,5
204,Ziaire Williams,24,BRK,SF,6
205,Derrick Jones Jr.,28,LAC,SF,6
206,Kevin Huerter,27,DET,SG,6
207,Jordan Miller,26,LAC,SF,5
208,Isaiah Stewart,24,DET,C,5
209,Harrison Barnes,33,SAS,PF,3
210,Tristan Da Silva,24,ORL,SF,4
211,Ausar Thompson,23,DET,SF,4
212,Royce O'Neale,32,PHO,SF,4
213,Zach Collins,28,CHI,C,4
214,Micah Potter,27,IND,C,4
215,Zaccharie Risacher,20,ATL,SF,3
216,Jay Huff,27,IND,C,3
217,T.J. McConnell,33,IND,PG,2
218,Aaron Wiggins,27,OKC,SG,5
219,Daniss Jenkins,24,DET,PG,3
220,Davion Mitchell,27,MIA,PG,3
221,Isaac Okoro,25,CHI,SG,3
222,Landry Shamet,28,NYK,SG,4
223,Marcus Smart,31,LAL,SG,5
224,Jaden Hardy,23,WAS,SG,1
225,Isaiah Hartenstein,27,OKC,C,4
226,Sam Hauser,28,BOS,PF,4
227,Corey Kispert,26,ATL,SF,2
228,Taurean Prince,31,MIL,SF,1
229,Gui Santos,23,GSW,PF,4
230,Quenton Jackson,27,IND,PG,1
231,Herbert Jones,27,NOP,SF,3
232,Nolan Traoré,19,BRK,PG,5
233,Danny Wolf,21,BRK,PF,4
234,Payton Sandfort,23,OKC,SF,3
235,Jordan Goodwin,27,PHO,PG,3
236,Day'Ron Sharpe,24,BRK,C,3
237,Jonas Valančiūnas,33,DEN,C,3
238,Jordan Clarkson,33,NYK,SG,3
239,Cason Wallace,22,OKC,SG,2
240,Jaden Ivey,23,CHI,SG,2
241,Vít Krejčí,25,POR,PG,2
242,Simone Fontecchio,30,MIA,SF,2
243,Bones Hyland,25,MIN,PG,3
244,Brook Lopez,37,LAC,C,4
245,Collin Murray-Boyles,20,TOR,PF,4
246,Luke Kennard,29,LAL,SG,4
247,Draymond Green,35,GSW,PF,3
248,Jared McCain,21,OKC,SG,1
249,Al Horford,39,GSW,C,2
250,Josh Oduro,25,NOP,PF,2
251,Malachi Smith,26,BRK,SG,2
252,Bradley Beal,32,LAC,SG,3
253,LJ Cryer,24,GSW,PG,1
254,Ron Holland,20,DET,SF,2
255,Chaney Johnson,23,BRK,SF,1
256,Jake LaRavia,24,LAL,PF,3
257,Luka Garza,27,BOS,C,3
258,Bryce McGowens,23,NOP,SG,1
259,Mouhamadou Gueye,27,CHI,PF,1
260,David Roddy,24,DEN,PF,2
261,Bruce Brown,29,DEN,SG,1
262,Moussa Diabaté,24,CHO,C,5
263,Paul Reed,26,DET,C,1
264,Dominick Barlow,22,PHI,PF,4
265,Buddy Hield,33,ATL,SG,1
266,Ryan Kalkbrenner,24,CHO,C,4
267,Jaxson Hayes,25,LAL,C,2
268,Ja'Kobe Walter,21,TOR,SG,3
269,Jose Alvarado,27,NYK,PG,2
270,Bogdan Bogdanović,33,LAC,SG,2
271,Cameron Payne,31,PHI,PG,3
272,Kris Dunn,31,LAC,PG,1
273,Nikola Jović,22,MIA,PF,1
274,Grant Williams,27,CHO,PF,3
275,Moritz Wagner,28,ORL,C,3
276,MarJon Beauchamp,25,PHI,SF,2
277,Keon Ellis,26,CLE,SG,2
278,Robert Williams,28,POR,C,1
279,Jamal Shead,23,TOR,PG,2
280,Oso Ighodaro,23,PHO,PF,2
281,Luke Kornet,30,SAS,C,2
282,Trendon Watford,25,PHI,PF,1
283,Jevon Carter,30,ORL,PG,2
284,Kyle Anderson,32,MIN,SF,2
285,Thomas Bryant,28,CLE,C,1
286,Nick Smith Jr.,21,LAL,SG,1
287,Gradey Dick,22,TOR,SG,1
288,Tidjane Salaün,20,CHO,PF,2
289,Goga Bitadze,26,ORL,C,1
290,Steven Adams,32,HOU,C,3
291,Ryan Dunn,23,PHO,SF,1
292,Mitchell Robinson,27,NYK,C,1
293,Terrence Shannon Jr.,25,MIN,SG,1
294,Aaron Holiday,29,HOU,PG,2
295,Tre Mann,24,CHO,PG,1
296,Baylor Scheierman,25,BOS,SG,2
297,Jordan Walsh,21,BOS,PF,1
298,Josh Okogie,27,HOU,SG,1
299,Carter Bryant,20,SAS,PF,1
