Unnamed: 0,Player,Age,Team,Pos,Rank,FG,P3
0,Luka Dončić,26,LAL,PG,10,0.476,0.366
1,Shai Gilgeous-Alexander,27,OKC,PG,10,0.553,0.386
2,Anthony Edwards,24,MIN,SG,10,0.489,0.399
3,Jaylen Brown,29,BOS,SF,10,0.477,0.347
4,Tyrese Maxey,25,PHI,PG,10,0.462,0.367
5,Kawhi Leonard,34,LAC,SF,10,0.505,0.387
6,Donovan Mitchell,29,CLE,SG,10,0.483,0.364
7,Nikola Jokić,30,DEN,C,10,0.569,0.38
8,Giannis Antetokounmpo,31,MIL,PF,10,0.624,0.333
9,Joel Embiid,31,PHI,C,9,0.489,0.333
10,Lauri Markkanen,28,UTA,PF,10,0.477,0.355
11,Stephen Curry,37,GSW,PG,10,0.468,0.393
12,Devin Booker,29,PHO,SG,10,0.456,0.33
13,Jalen Brunson,29,NYK,PG,10,0.467,0.369
14,Kevin Durant,37,HOU,SF,10,0.52,0.413
15,Jamal Murray,28,DEN,PG,9,0.483,0.435
16,Victor Wembanyama,22,SAS,C,10,0.512,0.349
17,Deni Avdija,25,POR,SF,10,0.462,0.318
18,Michael Porter Jr.,27,BRK,SF,10,0.463,0.363
19,Pascal Siakam,31,IND,PF,10,0.484,0.358
20,Cade Cunningham,24,DET,PG,10,0.461,0.342
21,James Harden,36,CLE,PG,9,0.466,0.435
22,Keyonte George,22,UTA,PG,9,0.456,0.371
23,Austin Reaves,27,LAL,SG,9,0.49,0.36
24,Jalen Johnson,24,ATL,SF,10,0.489,0.352
25,Paolo Banchero,23,ORL,PF,10,0.459,0.305
26,Jayson Tatum,27,BOS,PF,9,0.411,0.329
27,Norman Powell,32,MIA,SG,10,0.47,0.38
28,Brandon Ingram,28,TOR,SF,10,0.477,0.382
29,Trey Murphy III,25,NOP,SF,10,0.47,0.379
30,Julius Randle,31,MIN,PF,9,0.481,0.315
31,Cooper Flagg,19,DAL,SF,10,0.468,0.295
32,Zion Williamson,25,NOP,PF,9,0.6,0.25
33,LeBron James,41,LAL,SF,8,0.515,0.317
34,Nickeil Alexander-Walker,27,ATL,SG,9,0.459,0.399
35,Shaedon Sharpe,22,POR,SG,9,0.452,0.337
36,Franz Wagner,24,ORL,SF,9,0.481,0.345
37,Tyler Herro,26,MIA,SG,9,0.48,0.378
38,Anthony Davis,32,DAL,PF,9,0.506,0.27
39,Alperen Şengün,23,HOU,C,9,0.519,0.305
40,Dillon Brooks,30,PHO,SF,9,0.435,0.344
41,Brandon Miller,23,CHO,SF,10,0.435,0.383
42,Bam Adebayo,28,MIA,C,8,0.442,0.318
43,LaMelo Ball,24,CHO,PG,9,0.407,0.368
44,Desmond Bane,27,ORL,SG,8,0.484,0.391
45,Karl-Anthony Towns,30,NYK,C,9,0.501,0.368
46,Jimmy Butler,36,GSW,SF,9,0.519,0.376
47,Ty Jerome,28,MEM,SG,10,0.474,0.42
48,Jalen Duren,22,DET,C,9,0.65,
49,Ja Morant,26,MEM,PG,9,0.41,0.235
50,Jaren Jackson Jr.,26,UTA,C,8,0.476,0.357
51,RJ Barrett,25,TOR,SF,9,0.491,0.339
52,Zach LaVine,30,SAC,SG,10,0.479,0.39
53,Darius Garland,26,LAC,PG,9,0.46,0.396
54,CJ McCollum,34,ATL,PG,8,0.455,0.375
55,De'Aaron Fox,28,SAS,PG,9,0.486,0.332
56,Jerami Grant,31,POR,PF,8,0.453,0.389
57,Kon Knueppel,20,CHO,SF,8,0.475,0.425
58,DeMar DeRozan,36,SAC,PF,9,0.497,0.32
59,Amen Thompson,23,HOU,PG,8,0.534,0.216
60,Evan Mobley,24,CLE,PF,8,0.546,0.297
61,Scottie Barnes,24,TOR,PF,8,0.507,0.304
62,Trae Young,27,WAS,PG,10,0.458,0.338
63,Jalen Green,23,PHO,SG,8,0.422,0.313
64,Saddiq Bey,26,NOP,SF,8,0.451,0.367
65,Bennedict Mathurin,23,LAC,SF,8,0.43,0.315
66,Coby White,25,CHO,SG,7,0.446,0.362
67,Kevin Porter Jr.,25,MIL,PG,9,0.465,0.322
68,Paul George,35,PHI,PF,8,0.439,0.392
69,Ryan Rollins,23,MIL,PG,8,0.472,0.406
70,Miles Bridges,27,CHO,PF,6,0.46,0.333
71,Chet Holmgren,23,OKC,PF,9,0.557,0.362
72,Jalen Williams,24,OKC,SG,8,0.484,0.299
73,Josh Giddey,23,CHI,PG,10,0.448,0.364
74,Payton Pritchard,28,BOS,PG,8,0.464,0.377
75,Andrew Nembhard,26,IND,PG,9,0.442,0.361
76,Kristaps Porziņģis,30,GSW,C,8,0.446,0.338
77,OG Anunoby,28,NYK,PF,8,0.484,0.386
78,Stephon Castle,21,SAS,PG,8,0.471,0.332
79,Dejounte Murray,29,NOP,PG,7,0.484,0.306
80,Grayson Allen,30,PHO,SG,7,0.403,0.349
81,Derrick White,31,BOS,SG,7,0.394,0.327
82,Immanuel Quickley,26,TOR,PG,7,0.443,0.374
83,Matas Buzelis,21,CHI,PF,9,0.463,0.349
84,Jrue Holiday,35,POR,PG,7,0.451,0.378
85,Alex Sarr,20,WAS,C,9,0.482,0.333
86,Dariq Whitehead,21,MEM,SF,8,0.398,0.317
87,Aaron Gordon,30,DEN,PF,8,0.497,0.389
88,VJ Edgecombe,20,PHI,SG,7,0.438,0.354
89,Domantas Sabonis,29,SAC,C,8,0.543,0.185
90,Jabari Smith Jr.,22,HOU,PF,7,0.45,0.363
91,Collin Sexton,27,CHI,SG,8,0.485,0.401
92,Jarrett Allen,27,CLE,C,7,0.638,0.1
93,Jaime Jaquez Jr.,24,MIA,SF,7,0.507,0.317
